day,time,task,procrastinat,social
Monday,10:00:00,out_bed,0,0
Monday,10:30:00,admin,0,0
Monday,10:45:00,cook,0,0
Monday,12:15:00,tidy,0,0
Monday,12:45:00,work,0,0
Monday,15:30:00,work,0,0
Monday,17:10:00,work,0,0
Monday,21:30:00,cook,30,1
Monday,22:45:00,tidy,15,1
Monday,23:30:00,work,0,0
Tuesday,01:30:00,lights_off,0,0
Tuesday,08:00:00,out_bed,0,0
Tuesday,08:30:00,cook,0,0
Tuesday,09:30:00,work,0,0
Tuesday,13:00:00,work,0,0
Tuesday,14:15:00,admin,0,0
Tuesday,16:00:00,work,20,1
Tuesday,20:00:00,cook,60,1
Tuesday,22:00:00,career,NA,0
Wednesday,01:30:00,lights_off,0,0
Wednesday,09:30:00,out_bed,0,0
Wednesday,10:00:00,cook,0,0
Wednesday,11:15:00,work,60,1
Wednesday,15:00:00,work,60,0
Wednesday,18:00:00,work,0,0
Wednesday,21:30:00,cook,20,1
Wednesday,22:00:00,tidy,45,1
Wednesday,11:30:00,career,0,0
Thursday,02:00:00,lights_off,0,0
Thursday,08:30:00,out_bed,10,0
Thursday,08:45:00,cook,0,0
Thursday,09:30:00,work,0,0
Thursday,14:30:00,work,0,0
Thursday,17:00:00,work,0,0
Thursday,19:00:00,cook,0,0
Thursday,23:00:00,lights_off,30,0
Friday,11:00:00,out_bed,30,0
Friday,12:30:00,cook,0,0
Friday,14:30:00,work,60,1
Friday,17:30:00,work,0,0
Friday,21:00:00,cook,0,0
Friday,22:00:00,lights_off,0,0
Saturday,10:00:00,out_bed,60,1
Saturday,13:30:00,cook,120,0
Saturday,16:30:00,work,0,0
Saturday,19:30:00,work,0,0
Sunday,01:00:00,lights_off,30,0
Sunday,10:30:00,out_bed,120,1
Sunday,15:00:00,work,0,0
Sunday,18:00:00,work,NA,1
Sunday,23:30:00,lights_off,0,0