Economy,value_2021,value_2021_perc,country_text_id,country_id,year,v2x_libdem,v2x_egaldem,v2clkill,v2cldiscm,v2cldiscw,v2cseeorgs,v2csreprss,v2csantimv,v2csanmvch_0,v2csanmvch_1,v2csanmvch_2,v2csanmvch_3,v2csanmvch_4,v2csanmvch_5,v2csanmvch_6,v2csanmvch_7,v2csanmvch_8,v2csanmvch_9,v2csanmvch_10,v2csanmvch_11,v2csanmvch_12,v2mecenefi,v2meharjrn,v2smgovdom,v2smgovfilcap,v2smgovfilprc,v2smgovshutcap,v2smgovshut,v2smgovsm,v2smgovsmmon,v2smgovsmcenprc,v2smonex,v2smorgavgact,v2smorgelitact,v2smorgtypes_0,v2smorgtypes_1,v2smorgtypes_2,v2smorgtypes_3,v2smorgtypes_4,v2smorgtypes_5,v2smorgtypes_6,v2smorgtypes_7,v2smorgtypes_8,v2smorgtypes_9,v2smarrest,v2smpolsoc
Albania,79,0.79,ALB,12,2021,0.41,0.368,3.188,1.74,1.626,1.78,1.574,0.078,0.5,0.375,0.125,0.125,0.625,0.125,0.5,0.375,0,0,0.125,0,0,0.466,0.526,-0.795,-0.183,-0.004,-1.038,0.323,1.694,-0.297,1.195,2.699,0.998,0.657,1,0.667,0.833,0.833,0.167,0,0,0,0.167,0,1.034,-0.341
Algeria,71,0.71,DZA,103,2021,0.138,0.267,0.445,0.436,0.097,-1.058,-1.241,0.473,0.571,0.429,0.429,0.143,0.714,0,0.286,0.286,0,0.429,0.143,0,0,-1.469,0.027,-1.716,1.829,-1.68,1.56,-1.397,-2.015,-2.154,-1.251,0.639,0.376,0.002,1,0.714,1,0.714,0.286,0.143,0.143,0.143,0,0,-1.294,-1.005
Andorra,94,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,33,0.33,AGO,104,2021,0.168,0.142,1.045,0.504,0.356,0.267,0.581,0.059,0.5,0.5,0.5,0.5,0.75,0,0,0,0.5,0.25,0.25,0,0,0.84,0.328,-0.136,0.225,1.048,0.172,0.406,0.684,-0.094,0.906,-0.935,0.721,-1.055,0.25,0.25,1,0.5,0.25,0,0,0,0,0,0.977,0.455
Antigua and Barbuda,96,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argentina,87,0.87,ARG,37,2021,0.657,0.621,2.365,2.623,2.463,2.421,1.934,-0.757,0.143,0.143,0.429,0,0.143,0,0.286,0.429,0.143,0,0,0,0,1.831,1.96,1.136,-0.294,2.367,-1.401,1.926,1.872,0.832,1.811,1.295,1.366,1.211,0.889,0.778,1,0.778,0.222,0.111,0.111,0,0,0,2.636,-2.298
Armenia,79,0.79,ARM,105,2021,0.541,0.604,2.375,2.107,1.695,3.015,1.888,-0.551,0,0.429,0.571,0,0.286,0.286,0,0.286,0,0,0,0,0,1.958,1.078,-0.704,-0.173,1.06,0.658,1.47,1.892,0.731,1.129,1.198,2.976,2.372,0.714,0.429,1,0.143,0.143,0,0,0,0,0,0.957,-1.234
Australia,96,0.96,AUS,67,2021,0.804,0.717,3.022,2.404,2.795,2.816,1.887,-2.273,0.667,0.667,0.667,0,0.667,0.333,0.667,0.333,0.333,0,0.333,0,0,1.26,1.799,0.565,0.283,2.05,-0.491,1.327,1.433,1.471,1.571,2.186,1.141,-1.195,0.857,0.571,0.857,0.286,0.143,0,0,0.143,0,0.429,1.501,0.378
Austria,93,0.93,AUT,144,2021,0.751,0.743,2.84,2.691,3.008,1.327,2.299,-0.372,0.25,0.5,0.5,0,0.25,0.75,0.25,1,0,0,0.25,0,0,1.942,2.219,1.171,-0.609,1.966,-0.379,1.759,1.758,0.974,2.049,1.928,2.177,1.487,1,0.333,1,0,0,0,0.333,0,0,0,2.57,0.095
Azerbaijan,86,0.86,AZE,106,2021,0.066,0.113,1.203,-0.487,-0.737,-0.878,-0.292,-0.7,0.333,0.667,0.833,0,0.833,0.167,0.167,0.167,0,0,0.333,0,0,-0.302,-0.542,-3.081,1.75,-1.872,1.997,-0.647,-0.415,-2.425,-0.461,1.483,-0.267,-1.73,0.857,0.571,0.714,0,0.286,0,0,0,0.143,0.143,-1.411,-0.496
Bahamas,94,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bahrain,100,1,BHR,146,2021,0.054,0.113,-0.231,-1.171,-0.728,-1.605,-1.692,-0.672,0,0,0.75,0,0.25,0.25,0.25,0.25,0.75,0.25,0.75,0,0,-0.31,-1.217,-1.275,2.555,-2.336,1.402,-0.913,0.501,-1.837,-0.906,0.374,1.721,0.062,0.4,0.4,1,0.6,0.4,0.2,0,0,0,0,-2.9,-2.885
Bangladesh,39,0.39,BGD,24,2021,0.103,0.099,-1.491,-0.811,-0.786,1.614,-0.494,-0.999,0.5,0.25,0.5,0.25,0.5,0.25,0.25,0.5,0,0,0.25,0,0,-1.639,-1.588,-1.255,2.211,-0.996,1.598,-1.287,-1.423,-2.536,-2.549,0.421,-0.119,-0.419,0.8,0.8,0.8,0.6,0.6,0.2,0.4,0.6,0.2,0.2,-2.319,-1.35
Barbados,86,0.86,BRB,147,2021,0.678,0.663,2.605,2.454,2.504,1.954,2.057,-1.55,0.5,0.5,0,0,1,0,0,0,0,0,0,0,0,1.3,2.226,1.165,-1.044,1.375,-1.656,1.827,1.094,0.952,1.151,1.025,-0.097,-0.892,0.6,0.6,0.6,0.4,0,0,0,0,0,0,1.82,1.65
Belarus,87,0.87,BLR,107,2021,0.038,0.221,-0.966,-2.298,-2.284,-3.28,-3.158,-0.194,0.4,0.6,0.4,0,0.8,0,0,0,0,0,0,0,0,-1.599,-1.727,-2.55,2.164,-2.055,1.329,-2.729,-1.592,-2.231,0.11,0.373,2.231,-1.431,0.833,0,0.833,0.667,0,0,0,0,0,0.167,-1.562,-2.548
Belgium,93,0.93,BEL,148,2021,0.82,0.826,3.088,2.446,2.458,1.532,2.84,-0.993,0,0.5,0.75,0,0.25,0.25,0.5,0.75,0,0.25,0,0,0,1.98,2.091,1.899,0.135,2.601,-0.81,1.903,1.917,0.71,2.07,1.504,1.035,0.063,0.857,0.143,0.857,0.571,0,0.143,0,0,0,0.143,2.677,0.905
Belize,62,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benin,34,0.34,BEN,52,2021,0.289,0.333,2.151,0.525,0.524,1.379,0.897,0.168,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0,0,1.919,0.555,1.247,1.283,1.451,2.207,1.273,0.547,-0.397,1.036,-0.595,0.217,-0.028,0.667,0.333,0.333,0.167,0,0,0.167,0,0,0.167,-0.191,0.863
Bhutan,86,0.86,BTN,53,2021,0.476,0.481,1.422,1.185,0.791,0.616,0.826,-1.522,0,0,0.667,0,0,0,0,0,1,0,0.333,0,0,-0.521,0.903,-1.027,-0.863,-1.191,0.063,-1.645,-1.216,-1.435,-0.839,-0.632,-0.609,-1.408,0.333,0.833,0.333,0,0,0,0,0,0.167,0,-1.251,1.531
Bolivia,66,0.66,BOL,25,2021,0.357,0.397,1.876,1.408,0.878,0.918,0.824,0.622,0.333,0.333,0.667,0.167,0.5,0.333,0.333,0.667,0,0.667,0,0.167,0.333,0.936,1.019,-1.428,-0.573,0.682,-0.601,1.09,1.287,-0.281,0.818,-0.02,1.682,1.036,0.375,0.5,1,0.75,0.75,0.25,0.125,0.125,0,0,0.274,-1.846
Bosnia and Herzegovina,76,0.76,BIH,150,2021,0.357,0.369,1.846,0.834,0.41,2.791,1.817,-1.657,0.25,0.25,0.25,0.25,0.75,0.5,0,0.5,0.25,0.25,0.25,0.25,0.25,1.947,0.311,-0.617,-1.319,1.894,-1.265,1.825,1.801,1.46,0.736,0.572,0.498,-0.125,0.857,0.286,1,0.429,0,0,0.143,0,0,0,0.823,-1.697
Botswana,74,0.74,BWA,68,2021,0.485,0.429,1.343,2.024,1.402,2.037,2.152,-0.904,0.5,0,0,0,1,0,0,0,0,0,0,0,0,1.876,0.809,-0.147,0.585,2.048,-0.054,1.784,1.857,2.428,1.787,0.988,0.573,0.963,1,0.75,0.75,0.75,0,0,0.25,0,0,0,0.431,1.886
Brazil,81,0.81,BRA,19,2021,0.513,0.318,-0.281,1.022,0.505,1.693,1.134,-0.336,0.5,0.667,0.5,0,0.5,0.833,0.667,0.833,0,0,0.5,0.333,0.167,0.861,0.359,-2.253,-0.719,-0.21,-1.531,1.638,2.021,0.031,0.534,1.185,1.818,0.743,0.625,0.75,0.75,0.625,0.25,0.25,0.375,0,0.125,0.125,1.052,-2.464
Brunei Darussalam,98,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,75,0.75,BGR,152,2021,0.555,0.498,2.199,1.888,1.76,1.612,2.316,-0.256,0.571,0.857,0.429,0,0.286,0.429,0.286,0.571,0.143,0,0,0,0.143,1.974,0.499,0.049,-0.179,2.066,-1.226,1.899,1.863,1.397,1.435,0.943,0.899,2.052,1,0.8,1,0.4,0.2,0.2,0.2,0,0,0,1.677,-1.03
Burkina Faso,22,0.22,BFA,54,2021,0.428,0.397,2.275,0.48,0.82,1.981,1.737,1.009,0.25,0,0.75,0.5,0,0,0.25,0,0,0,0.5,0,0,-0.272,0.957,0.609,1.775,-0.699,2.053,-2.109,-1.069,-1.798,-0.785,-0.051,1.704,0.947,0.6,0.6,0.8,0.6,0,0,0,0.4,0,0.2,-1.007,-0.658
Burundi,6,0.06,BDI,69,2021,0.07,0.112,-2.096,-1.671,-1.553,-1.94,-0.998,-0.581,0.25,0,0.25,0.25,0.75,0,0,0,0,0,0.25,0,0,-0.685,-1.435,-1.243,-0.913,-0.68,0.828,-0.272,-1.147,-0.983,-0.984,-0.922,-0.733,0,0.714,0.286,0.571,0.286,0.143,0.143,0,0.286,0.143,0.143,-2.822,-0.448
Cape Verde,70,0.7,CPV,70,2021,0.676,0.598,1.896,2.581,1.709,1.867,3.055,-1.682,0.667,0.667,0,0,1,0,0.333,0,0,0,0,0,0,2.044,1.674,1.175,-1.151,1.619,-1.301,0.706,1.47,2.127,1.15,-0.167,0.112,0.037,1,0.4,0.8,0.4,0,0,0,0,0,0,1.563,0.429
Cambodia,60,0.6,KHM,55,2021,0.065,0.086,-0.71,-0.949,-0.984,-0.95,-1.805,-0.584,1,0.667,0,0,0.667,0,0,0,0,0,0,0,0,-0.965,-1.12,-2.43,0.294,-2.489,-0.519,0.512,0.708,-1.021,-0.836,0.218,-0.437,1.465,0.8,0.6,1,0.8,0,0.2,0,0,0,0,-2.131,0.785
Cameroon,46,0.46,CMR,108,2021,0.123,0.184,0.471,0.81,0.929,0.356,-0.73,1.103,0.125,0.375,0.625,0.75,0,0.125,0,0.125,0.375,0.75,0,0.25,0.125,-0.521,-0.622,-1.152,1.393,0.39,1.672,-0.026,0.047,-0.875,-1.532,-0.676,1.799,1.426,0.571,0.714,0.857,0.714,0.286,0.571,0.143,0.143,0,0.143,-1.261,-2.26
Canada,93,0.93,CAN,66,2021,0.747,0.742,3.124,2.523,2.441,2.083,1.911,-0.59,0.5,0,0.25,0,0.75,0,0.25,0.25,0.25,0.75,0.25,0,0,1.983,2.783,2.309,0.965,1.955,-0.319,1.848,1.794,1.707,1.991,1.177,0.524,1.047,1,0.75,0.75,0.25,0,0.25,0.25,0,0,0,2.443,1.881
Central African Republic,11,0.11,CAF,71,2021,0.175,0.164,-0.337,0.82,0.299,0.562,-0.216,0.651,0.25,0.25,0.25,0.5,0.5,0.5,0.25,0.25,0.75,0.25,0,0.5,0.5,0.996,0.285,-1.112,-1.215,0.401,1.41,0.914,1.202,0.719,1.114,-0.332,0.053,0.423,0.8,0.4,0.8,0.2,0,0.2,0,0.2,0.2,0,-0.465,-1.059
Chad,18,0.18,TCD,109,2021,0.051,0.078,-1.455,-0.294,0.249,-0.388,-0.762,1.617,0.333,0.333,0.667,0,0.333,0,0,0,0,0,0.333,0,0,-1.443,-0.019,-1.444,0.296,-1.7,1.832,-2.097,-2.535,-0.631,-1.111,-2.402,-1.014,0.31,0.667,0.667,0.333,0.333,0,0.333,0,0.333,0,0,-1.55,-1.337
Chile,90,0.9,CHL,72,2021,0.779,0.645,1.759,2.821,2.742,1.379,2.058,-0.683,0.286,0.429,0.429,0.429,0.286,0.571,0.571,0.429,0.286,0.286,0,0.429,0.286,2.083,2.23,1.255,1.129,1.183,-0.624,1.893,1.97,1.382,1.199,1.486,1.624,0.256,0.667,0.833,1,0.833,0.833,0.333,0,0,0,0,1.58,-0.792
China,73,0.73,CHN,110,2021,0.039,0.097,0.329,-1.494,-1.365,-2.297,-1.316,-2.394,0.5,0.5,0,0,0.5,0,0,0,0.5,0.5,0.5,0,0,-2.037,-1.871,-2.639,2.002,-2.871,1.967,-0.538,-1.813,-3.169,-2.467,2.056,-0.262,-0.562,0.833,0.083,0.667,0.75,0.25,0.083,0.333,0.083,0.25,0.083,-2.328,2.047
Colombia,73,0.73,COL,15,2021,0.485,0.321,-0.84,-0.311,-0.268,0.881,0.62,0.555,0,0.143,0.571,0.857,0.143,0.429,1,0.286,0,0,0,0.714,0.857,0.544,0.752,-1.239,-0.574,0.882,-0.35,0.25,0.46,-1.989,-0.135,0.81,1.878,1.558,1,0.875,1,0.75,0.875,0.375,0.5,0.125,0.125,0,0.581,-2.071
Comoros,27,0.27,COM,153,2021,0.113,0.23,-0.615,-0.481,-0.567,0.537,-0.243,0.112,0.5,0.333,0.833,0,0.167,0.167,0.167,0,0.167,0.333,0.667,0.167,0,0.902,0.816,-0.844,1.196,-0.305,1.741,-0.041,0.502,-0.412,-0.116,-1.731,-0.559,-0.504,0.833,0.5,0.5,0.5,0.167,0.167,0.167,0.167,0,0.167,-0.547,-0.642
Costa Rica,83,0.83,CRI,73,2021,0.85,0.801,2.543,2.668,2.467,2.757,2.5,-1.282,1,1,0.5,0,1,0,0,0,0,0,0.5,0,0,2.145,1.807,2.113,-1.357,1.192,-0.591,1.83,1.777,2.387,1.091,1.552,1.755,0.831,0.833,0.667,1,0.5,0.167,0,0,0,0,0,1.887,0.887
Croatia,81,0.81,HRV,154,2021,0.65,0.593,2.849,1.777,1.38,1.402,1.328,-1.425,0.25,0,0.25,0,0.25,0.75,0,1,0,0,0.5,0,0,1.858,0.993,1.439,-1.479,1.767,-1.313,1.27,1.441,1.133,1.897,0.388,1.393,-0.829,1,0.5,0.833,0.333,0.167,0,0,0,0,0,1.078,-0.135
Cuba,71,0.71,CUB,155,2021,0.057,0.242,0.926,-2.05,-2.024,-2.691,-2.167,0.198,0.571,0.143,0.429,0.143,0.571,0,0.429,0.429,0,0,0,0,0,-2.326,-0.997,-3.118,2.178,-3.255,1.747,-1.366,-1.14,-2.156,-0.916,-1.882,-0.142,0.395,0.5,0.25,1,0,0.25,0,0.25,0,0,0,-2.536,-0.468
Cyprus,91,0.91,CYP,156,2021,0.648,0.692,3.317,1.957,2.064,2.225,2.409,-1.572,1,1,0,0,0,0,0,0,0,0,0,0,0,1.991,1.015,1.154,-1.939,1.976,-1.548,1.922,1.841,1.491,1.07,1.638,-0.812,0.56,0.833,0.5,0.833,0.5,0.333,0,0,0,0,0,1.469,0.199
Czechia,83,0.83,CZE,157,2021,0.716,0.716,3.22,2.092,2.338,1.903,2.571,-1.379,0.333,0.222,0.444,0.111,0.333,0.556,0.222,0.556,0.111,0,0,0.111,0,1.694,2.053,0.556,-1.857,1.918,-1.774,1.908,1.947,1.201,1.623,2.16,2.286,2.206,1,0.778,1,0.333,0.111,0,0,0,0,0,2.555,0.309
Ivory Coast,45,0.45,CIV,64,2021,0.239,0.252,0.364,0.615,0.341,1.206,1.433,-0.706,0.4,0.4,0.6,0.6,0.6,0.2,0.6,0.2,0,0.2,0.4,0.2,0,1.132,0.717,-0.625,1.398,0.378,1.527,1.813,0.459,-1.672,0.228,-0.277,0.363,1.158,0.714,0.429,0.714,0.571,0,0.286,0,0,0,0.143,-0.58,-1.101
Democratic Republic of the Congo,23,0.23,COD,111,2021,0.15,0.192,0.987,0.404,0.653,0.702,-0.908,0.643,0,0.571,0.571,0.571,0,0.286,0.143,0,0.286,0.286,0.286,0.286,0.286,-0.854,0.166,-0.284,-0.898,0.09,0.528,-1.497,-0.936,-0.516,-0.652,-0.887,-0.002,1.703,0.167,0.5,1,0.667,0.333,0.667,0.5,0,0.167,0,-0.62,-0.838
Denmark,99,0.99,DNK,158,2021,0.885,0.878,3.29,3.12,2.984,2.855,2.751,-2.356,0.5,0,1,0,0,0,0.5,0.5,0,0,0.5,0,0,2.095,3.766,2.692,-1.096,2.365,0.918,1.8,1.785,2.109,1.93,2.755,2.105,1.379,1,0.833,1,0.667,0,0,0,0,0,0.167,2.571,2.158
Djibouti,69,0.69,DJI,113,2021,0.125,0.193,-0.227,0.451,-0.179,0.278,0.092,0.296,0.333,0.333,0.667,0,0.333,0.167,0,0.167,0.167,0,0,0,0,-1.995,-0.718,-1.045,0.198,-0.72,-0.418,-0.493,-1.047,-0.91,-1.506,-2.085,-0.77,0.001,0.5,0.667,0.5,0.167,0.167,0.167,0,0.167,0,0,-1.123,0.789
Dominica,81,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dominican Republic,85,0.85,DOM,114,2021,0.465,0.379,2.048,2.452,2.375,1.768,2.802,-1.576,0.167,0.167,0.667,0,0.667,0.333,0.667,0.333,0,0,0,0.167,0,0.985,2.182,1.586,-0.71,2.341,1.208,1.742,1.765,1.307,1.983,1.12,0.673,1.053,0.667,0.5,0.833,0.167,0,0,0.167,0,0,0,2.584,-0.448
Ecuador,76,0.76,ECU,75,2021,0.449,0.38,2.505,2.689,2.742,1.132,-0.213,-0.542,0.286,0.571,0.143,0.143,0.571,0.143,0.571,0,0.286,0.143,0,0,0.143,-0.156,0.589,-0.317,-0.551,-0.262,-1.178,0.869,0.784,-0.525,-0.995,-0.418,0.911,1.073,0.4,0.6,1,1,0.6,0.2,0,0,0,0,0.296,-0.355
Egypt,72,0.72,EGY,13,2021,0.118,0.085,-1.453,-2.102,-1.63,-1.367,-1.33,-1.416,0.4,0,0.6,0.6,0.2,0.4,0.6,0.2,0.6,0,0.8,0.2,0.2,-1.11,-0.963,-2.381,0.743,-2.347,0.889,-0.323,-0.677,-1.617,-1.216,-1.192,-0.44,-1.345,0.6,0.4,0.8,1,0.4,0,0,0.2,0,0,-2.322,-1.365
El Salvador,63,0.63,SLV,22,2021,0.187,0.216,0.583,0.275,-0.162,0.77,0.568,-1.896,0.5,1,0,0,0,0,0.5,0.5,0,0,0,0,0,0.93,-0.464,-1.397,-1.311,1.735,-2.07,1.858,1.776,0.429,0.948,-0.024,0.647,0.834,0.75,1,1,0.25,0,0.25,0.5,0,0,0,0.291,-0.566
Equatorial Guinea,54,0.54,GNQ,160,2021,0.053,0.115,-0.715,-0.812,-0.808,-1.383,-1.61,-1.042,0.333,0.667,0.333,0,0.667,0,0.333,0.333,0.333,0.333,0.333,0,0,-2.732,-2.005,-1.001,0.985,-1.302,1.277,-1.099,-2.078,-2.883,-1.672,-2.008,-0.761,-1.509,0.4,0.2,0,0,0,0,0,0,0,0.4,-2.654,-0.795
Eritrea,22,0.22,ERI,115,2021,0.01,0.116,-1.634,-1.538,-1.747,-1.692,-1.999,-1.364,0,0,0,1,0,0.5,0,0,1,0.5,0.5,0,0,-1.432,-2.374,-2.919,-1.402,-1.831,0.544,-1.927,-1.58,-1.502,-1.649,-1.962,-2.594,-2.2,0,0,0.167,0,0,0,0.167,0,0.333,0.667,-2.836,0.589
Estonia,91,0.91,EST,161,2021,0.845,0.8,2.936,2.449,2.366,2.831,2.969,-2.1,1,0,1,0,0,0,0,1,1,1,0,0,0,1.952,2.945,1.938,0.852,2.195,1.053,1.712,1.741,1.495,1.863,1.686,1.225,0.981,1,0.6,1,0.4,0,0,0,0,0,0,2.449,0.555
Eswatini,59,0.59,SWZ,132,2021,0.096,0.068,-0.976,-2.012,-2.176,-2.124,-1.961,0.56,0.625,0.25,1,0.125,0.5,0,0,0.125,0.125,0,0.25,0,0,-2.379,-0.641,-0.798,-0.091,-0.182,0.117,-1.9,-1.831,-1.916,-1.403,0.058,0.927,-0.158,0.75,0.25,1,1,0.5,0.25,0.25,0,0,0,-1.487,-0.938
Ethiopia,17,0.17,ETH,38,2021,0.144,0.228,-0.076,0.069,0.182,1.055,0.353,0.558,0.333,0.111,0.667,0.111,0.444,0.111,0,0,0.667,0.556,0.333,0.111,0,-0.934,-0.332,-1.581,-0.522,-2.5,0.306,-2.286,-2.59,-0.994,-1.595,1.531,0.11,0.446,0.333,0.333,0.5,0.5,0.5,0.833,0.5,0.333,0.167,0,-1.142,-1.432
Fiji,88,0.88,FJI,162,2021,0.27,0.287,1.985,0.152,0.07,1.107,0.851,-0.734,0.4,0.2,0.4,0,1,0.2,0,0,0.8,0.2,0.8,0,0,-0.261,0.017,0.66,-0.699,0.617,-1.072,0.958,0.891,-0.41,-0.061,-0.231,-0.688,0.114,1,0.5,0.5,0.25,0,0,0,0,0,0.25,0.619,-0.373
Finland,93,0.93,FIN,163,2021,0.828,0.785,3.153,2.512,2.882,1.5,2.537,-1.267,0,0.4,0.6,0,0,0.6,0.2,1,0.2,0,0,0,0,1.977,3.201,2.681,-0.653,2.292,-1.296,1.732,1.752,1.853,1.888,2.156,1.669,1.842,1,0.5,0.667,0.333,0,0,0,0,0,0,2.523,2.076
France,86,0.86,FRA,76,2021,0.791,0.764,2.732,2.368,2.363,1.444,1.404,0.067,0.333,0.333,0.667,0,0.333,0.333,0.5,0.667,0,0.167,0.5,0,0,0.886,2.788,1.09,1.202,1.232,-0.68,1.194,1.198,1.158,0.477,1.177,1.77,-0.091,1,0.333,1,0.833,0.333,0.167,0.167,0,0,0,1.221,-0.976
Gabon,72,0.72,GAB,116,2021,0.206,0.296,2.335,1.571,1.28,1.188,0.947,1.881,0.8,0.6,0.2,0,0.8,0,0.2,0.2,0,0,0,0,0,0.801,1.078,-1.046,0.693,0.344,1.504,-1.754,-0.937,-0.05,0.129,-0.839,1.083,0.687,0.6,0,0.8,1,0,0,0,0,0,0,-2.017,-0.471
The Gambia,33,0.33,GMB,117,2021,0.419,0.352,2.696,1.276,1.318,1.693,2.239,-1.743,0.5,0.5,0,0,1,0,0.25,0,0,0,0.25,0,0,0.887,0.73,0.698,0.534,1.058,1.044,1.363,1.626,1.204,1.295,-0.274,0.163,0.665,0.625,0.75,0.625,0.375,0.125,0,0,0,0,0,0.509,1.953
Georgia,76,0.76,GEO,118,2021,0.497,0.509,2.145,1.492,1.735,2.595,1.862,-0.506,0.333,0.333,0.222,0.111,0.556,0.111,0,0.222,0,0,0.111,0,0,1.93,1.378,-0.776,0.522,1.19,-0.846,1.957,1.888,-0.089,1.043,0.887,1.386,1.47,0.8,0.4,1,0,0,0,0,0,0,0,1.233,-1.39
Germany,91,0.91,DEU,77,2021,0.823,0.809,3.297,2.991,2.731,1.118,3.087,-0.704,0.4,0.4,0.4,0,0,0.4,0,0.8,0,0,0,0,0,0.902,2.336,2.148,0.766,1.301,-0.182,1.844,1.354,0.705,0.66,1.659,1.899,1.124,0.333,0.5,1,0.333,0.167,0,0.167,0.167,0,0.167,2.107,-0.059
Ghana,68,0.68,GHA,7,2021,0.56,0.484,1.688,1.536,0.932,2.314,2.701,-0.379,0,0.333,0.5,0.167,0.667,0,0.333,0,0.333,0.333,0,0.167,0,1.747,0.447,1.275,2.413,1.195,1.49,1.336,1.714,0.952,1.86,-0.433,0.744,0.818,0.8,0.8,1,0.6,0,0,0,0,0,0,0.818,-1.629
