state,called,final,dem_votes,rep_votes,other_votes,dem_percent,rep_percent,other_percent,dem_this_margin,margin_shift,vote_change,stateid
Alabama,R,Yes,"849,624","1,441,170","32,488",36.6,62.0,1.4,-25.5,2.3,9.4,AL
Alaska,R,Yes,"153,778","189,951","15,801",42.8,52.8,4.4,-10.1,4.7,12.8,AK
Arizona,D,Yes,"1,672,143","1,661,686","53,497",49.4,49.1,1.6,0.3,3.9,31.6,AZ
Arkansas,R,Yes,"423,932","760,647","34,490",34.8,62.4,2.8,-27.6,-0.7,7.8,AR
California,D,Yes,"11,110,250","6,006,429","384,192",63.5,34.3,2.2,29.2,-0.9,23.4,CA
Colorado,D,Yes,"1,804,352","1,364,607","87,993",55.4,41.9,2.7,13.5,8.6,17.1,CO
Connecticut,D,Yes,"1,080,831","714,717","28,309",59.3,39.2,1.6,20.1,6.4,10.9,CT
Delaware,D,Yes,"296,268","200,603","7,475",58.7,39.8,1.5,19.0,7.6,14.2,DE
District of Columbia,D,Yes,"317,323","18,586","8,447",92.1,5.4,2.5,86.8,0.0,10.6,DC
Florida,R,Yes,"5,297,045","5,668,731","101,680",47.9,51.2,0.9,-3.4,-2.2,17.5,FL
Georgia,D,Yes,"2,473,633","2,461,854","62,229",49.5,49.3,1.2,0.2,5.4,22.1,GA
Hawaii,D,Yes,"366,130","196,864","11,475",63.7,34.3,2.0,29.5,-2.7,33.9,HI
Idaho,R,Yes,"287,021","554,119","26,091",33.1,63.9,3.0,-30.8,1.0,25.6,ID
Illinois,D,Yes,"3,471,915","2,446,891","114,938",57.5,40.6,1.9,17.0,-0.1,9.0,IL
Indiana,R,Yes,"1,242,413","1,729,516","61,183",41.0,57.0,2.0,-16.1,3.1,10.9,IN
Iowa,R,Yes,"759,061","897,672","34,138",44.9,53.1,2.0,-8.2,1.2,8.0,IA
Kansas,R,Yes,"570,323","771,406","30,574",41.6,56.2,2.2,-14.7,5.9,15.9,KS
Kentucky,R,Yes,"772,474","1,326,646","37,648",36.2,62.1,1.8,-25.9,3.9,11.1,KY
Louisiana,R,Yes,"856,034","1,255,776","36,252",39.9,58.5,1.7,-18.6,1.0,5.9,LA
Maine,D,Yes,"435,072","360,737","23,652",53.1,44.0,2.9,9.1,6.1,9.6,ME
Maryland,D,Yes,"1,985,023","976,414","75,593",65.4,32.2,2.5,33.2,6.8,9.2,MD
Massachusetts,D,Yes,"2,382,202","1,167,202","81,998",65.6,32.1,2.3,33.5,6.3,9.2,MA
Michigan,D,Yes,"2,804,040","2,649,852","85,410",50.6,47.8,1.5,2.8,3.0,15.4,MI
Minnesota,D,Yes,"1,717,077","1,484,065","76,029",52.4,45.3,2.3,7.1,5.6,11.3,MN
Mississippi,R,Yes,"539,508","756,789","17,597",41.1,57.6,1.3,-16.5,1.3,8.6,MS
Missouri,R,Yes,"1,253,014","1,718,736","54,212",41.4,56.8,1.8,-15.4,3.2,7.7,MO
Montana,R,Yes,"244,786","343,602","15,286",40.5,56.9,2.5,-16.4,4.1,21.4,MT
Nebraska,R,Yes,"374,583","556,846","20,283",39.4,58.5,2.1,-19.2,5.9,12.7,NE
Nevada,D,Yes,"703,486","669,890","32,000",50.1,47.7,2.3,2.4,0.0,24.9,NV
New Hampshire,D,Yes,"424,921","365,654","15,607",52.7,45.4,1.9,7.4,7.0,8.3,NH
New Jersey,D,Yes,"2,608,335","1,883,274","57,744",57.3,41.4,1.3,15.9,1.8,17.4,NJ
New Mexico,D,Yes,"501,614","401,894","20,457",54.3,43.5,2.2,10.8,2.6,15.7,NM
New York,D,Yes,"5,244,886","3,251,997","119,978",60.9,37.7,1.4,23.1,0.6,11.6,NY
North Carolina,R,Yes,"2,684,292","2,758,775","81,737",48.6,49.9,1.5,-1.3,2.3,16.5,NC
North Dakota,R,Yes,"114,902","235,595","11,322",31.8,65.1,3.1,-33.4,2.4,5.1,ND
Ohio,R,Yes,"2,679,165","3,154,834","88,203",45.2,53.3,1.5,-8.0,0.1,7.7,OH
Oklahoma,R,Yes,"503,890","1,020,280","36,529",32.3,65.4,2.3,-33.1,3.3,7.4,OK
Oregon,D,Yes,"1,340,383","958,448","75,490",56.5,40.4,3.2,16.1,5.1,18.6,OR
Pennsylvania,D,Yes,"3,458,229","3,377,674","79,380",50.0,48.8,1.1,1.2,1.9,13.1,PA
Rhode Island,D,Yes,"307,486","199,922","10,349",59.4,38.6,2.0,20.8,5.3,11.6,RI
South Carolina,R,Yes,"1,091,541","1,385,103","36,685",43.4,55.1,1.5,-11.7,2.6,19.5,SC
South Dakota,R,Yes,"150,471","261,043","11,095",35.6,61.8,2.6,-26.2,3.6,14.2,SD
Tennessee,R,Yes,"1,143,711","1,852,475","57,665",37.5,60.7,1.9,-23.2,2.8,21.8,TN
Texas,R,Yes,"5,259,126","5,890,347","165,583",46.5,52.1,1.5,-5.6,3.4,26.2,TX
Utah,R,Yes,"560,282","865,140","62,867",37.6,58.1,4.2,-20.5,-2.4,31.5,UT
Vermont,D,Yes,"242,820","112,704","11,904",66.1,30.7,3.2,35.4,9.0,16.6,VT
Virginia,D,Yes,"2,413,568","1,962,430","84,526",54.1,44.0,1.9,10.1,4.8,12.0,VA
Washington,D,Yes,"2,369,612","1,584,651","133,368",58.0,38.8,3.3,19.2,3.5,21.5,WA
West Virginia,R,Yes,"235,984","545,382","13,286",29.7,68.6,1.7,-38.9,3.1,11.4,WV
Wisconsin,D,Yes,"1,630,866","1,610,184","56,991",49.4,48.8,1.7,0.6,1.4,10.8,WI
Wyoming,R,Yes,"73,491","193,559","9,715",26.6,69.9,3.5,-43.4,2.9,8.2,WY